year,team_id,team_name,wins,losses,ties,total_games
2016,929,Adams St.,1,5,7,13
2016,3,Adelphi,7,1,7,15
2016,4,Adrian,0,7,8,15
2016,721,Air Force,8,2,5,15
2016,10,Ala.-Huntsville,1,6,6,13
2016,14,Albany (NY),5,2,7,14
2016,2798,Albertus Magnus,1,2,11,14
2016,15,Albion,3,4,8,15
2016,16,Albright,1,6,8,15
2016,934,Alderson Broaddus,2,6,7,15
2016,18,Alfred,5,2,8,15
2016,30170,Alfred St.,1,5,10,16
2016,21,Alma,6,3,7,16
2016,938,Alvernia,2,5,10,17
2016,22,American Int'l,0,9,6,15
2016,24,Amherst,5,1,9,15
2016,26,Anna Maria,1,6,9,16
2016,966,Arcadia,2,4,10,16
2016,725,Army West Point,7,2,5,14
2016,36,Assumption,2,5,7,14
2016,40,Augustana (IL),4,5,8,17
2016,42,Aurora,7,1,9,17
2016,45,Babson,1,5,10,16
2016,46,Baldwin Wallace,6,1,9,16
2016,962,Bard,2,5,9,16
2016,50,Bates,7,1,6,14
2016,26107,Becker,2,7,8,17
2016,52,Bellarmine,4,5,5,14
2016,2683,Belmont Abbey,8,1,6,15
2016,53,Beloit,1,7,7,15
2016,296,Benedictine (IL),6,2,7,15
2016,56,Bentley,3,1,9,13
2016,973,Berry,5,7,3,15
2016,59,Bethany (WV),0,8,9,17
2016,62,Binghamton,2,5,7,14
2016,28593,Birmingham-So.,9,3,3,15
2016,68,Boston U.,8,2,5,15
2016,69,Bowdoin,5,1,9,15
2016,30094,Brevard,1,9,5,15
2016,75,Bridgewater (VA),6,3,8,17
2016,78,Brockport,6,1,8,15
2016,80,Brown,6,0,8,14
2016,81,Bryant,4,3,7,14
2016,30188,Bryn Athyn,1,1,12,14
2016,83,Bucknell,5,4,4,13
2016,88,Cabrini,5,3,8,16
2016,114,Calvin,4,3,9,16
2016,116,Canisius,2,3,6,11
2016,117,Capital,7,2,9,18
2016,120,Carroll (WI),0,1,9,10
2016,121,Carthage,5,4,10,19
2016,123,Castleton,3,3,10,16
2016,1001,Catawba,3,5,6,14
2016,124,Catholic,7,3,6,16
2016,23624,Cazenovia,2,3,9,14
2016,12884,Centenary (NJ),4,3,7,14
2016,132,Centre,7,3,5,15
2016,21323,Chestnut Hill,1,6,6,13
2016,139,Chris. Newport,8,2,6,16
2016,145,Clark (MA),6,1,8,15
2016,146,Clarkson,2,4,9,15
2016,722,Coast Guard,5,2,9,16
2016,30083,Cobleskill St.,2,3,9,14
2016,1023,Coker,2,7,6,15
2016,151,Colby,1,3,11,15
2016,153,Colgate,3,6,5,14
2016,154,Colorado Col.,6,3,4,13
2016,11416,Colorado Mesa,2,4,9,15
2016,2720,Colorado St.-Pueblo,2,5,7,14
2016,160,Concordia Chicago,0,7,7,14
2016,1036,Concordia Wisconsin,5,2,7,14
2016,163,Connecticut Col.,3,3,9,15
2016,167,Cornell,3,4,6,13
2016,166,Cornell College,2,5,6,13
2016,170,Curry,5,0,11,16
2016,1044,Dallas,2,7,6,15
2016,2691,Daniel Webster,4,3,9,16
2016,172,Dartmouth,1,5,8,14
2016,174,Davis & Elkins,0,4,5,9
2016,1050,Defiance,0,4,9,13
2016,180,Delaware,3,7,5,15
2016,179,Delaware Valley,4,3,8,15
2016,182,Denison,7,1,7,15
2016,183,Denver,7,1,5,13
2016,177,DePauw,3,5,7,15
2016,20,DeSales,0,7,7,14
2016,184,Detroit,1,6,5,12
2016,185,Dickinson,5,2,8,15
2016,186,Dist. Columbia,2,4,6,12
2016,8956,Dominican (NY),3,6,6,15
2016,2692,Dowling,6,2,6,14
2016,190,Drew,2,5,9,16
2016,191,Drexel,4,5,5,14
2016,192,Dubuque,1,6,5,12
2016,193,Duke,7,4,5,16
2016,8968,Eastern,4,4,9,17
2016,200,Eastern Conn. St.,3,4,8,15
2016,211,Elizabethtown,6,3,7,16
2016,212,Elmhurst,3,6,7,16
2016,213,Elmira,2,3,9,14
2016,214,Emerson,0,5,11,16
2016,30193,Emmanuel (GA),1,9,6,16
2016,215,Emmanuel (MA),1,5,11,17
2016,8981,Endicott,2,6,8,16
2016,220,Fairfield,4,6,5,15
2016,27892,Farmingdale St.,5,1,10,16
2016,221,FDU-Florham,1,5,9,15
2016,225,Ferrum,5,8,5,18
2016,233,Fla. Southern,8,5,4,17
2016,230,Florida Tech,5,4,4,13
2016,30069,Franciscan,3,4,6,13
2016,239,Frank. & Marsh.,7,2,7,16
2016,241,Franklin Pierce,3,2,8,13
2016,243,Frostburg St.,11,1,5,17
2016,244,Furman,1,7,5,13
2016,251,Georgetown,1,8,5,14
2016,9004,Georgian Court,0,9,6,15
2016,258,Gettysburg,5,2,7,14
2016,1099,Gordon,0,7,8,15
2016,1467,Goucher,7,2,6,15
2016,11062,Green Mountain,0,6,7,13
2016,263,Greensboro,3,9,3,15
2016,1112,Guilford,2,5,9,16
2016,12399,Gwynedd Mercy,3,3,8,14
2016,267,Hamilton,3,4,8,15
2016,269,Hampden-Sydney,7,4,6,17
2016,270,Hampton,0,4,1,5
2016,1115,Hanover,4,5,8,17
2016,272,Hartford,4,4,7,15
2016,273,Hartwick,2,4,8,14
2016,275,Harvard,4,4,6,14
2016,276,Haverford,4,4,7,15
2016,1124,Hendrix,6,7,3,16
2016,19651,High Point,4,5,5,14
2016,8398,Hilbert,1,2,11,14
2016,281,Hiram,1,6,8,15
2016,282,Hobart and William Colleges,5,4,5,14
2016,283,Hofstra,6,3,5,14
2016,285,Holy Cross,1,8,5,14
2016,8404,Hood,3,4,8,15
2016,286,Hope,6,3,7,16
2016,30160,Houghton,2,4,11,17
2016,1130,Huntingdon,7,8,2,17
2016,1133,Husson,1,5,9,15
2016,300,Ill. Wesleyan,5,3,8,16
2016,303,Immaculata,3,5,8,16
2016,313,Ithaca,7,1,9,17
2016,316,Jacksonville,2,6,5,13
2016,320,John Carroll,4,3,8,15
2016,322,Johns Hopkins,4,3,6,13
